product_code,company_name
B130SL20Y,"B130SL20Y
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Stay Put Illuminated Green 22 mm Control Unit"
B130SL21B,"B130SL21B
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Spring Return Illuminated White 22 mm Control Unit"
B130SL21K,"B130SL21K
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Spring Return Illuminated Red 22 mm Control Unit"
B130SL21Y,"B130SL21Y
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Spring Return Illuminated Green 22 mm Control Unit"
B131DK,"B131DK
B Series Plastic with Ba9S Lampholder 2NO Spring Flush Red 22 mm Control Unit"
B131DY,"B131DY
B Series Plastic with Ba9S Lampholder 2NO Spring Flush Green 22 mm Control Unit"
B131SL20K,"B131SL20K
B Series Plastic with Ba9S Lampholder 2NO (0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B131SL20S,"B131SL20S
B Series Plastic with Ba9S Lampholder 2NO (0-I) 60° Selector Stay Put Illuminated Yellow 22 mm Control Unit"
B131SL20Y,"B131SL20Y
B Series Plastic with Ba9S Lampholder 2NO (0-I) 60° Selector Stay Put Illuminated Green 22 mm Control Unit"
B131SL30B,"B131SL30B
B Series Plastic with Ba9S Lampholder 2NO (II-0-I) 60° Selector Stay Put Illuminated White 22 mm Control Unit"
B131SL30K,"B131SL30K
B Series Plastic with Ba9S Lampholder 2NO (II-0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B131SL30M,"B131SL30M
B Series Plastic with Ba9S Lampholder 2NO (II-0-I) 60° Selector Stay Put Illuminated Blue 22 mm Control Unit"
